"initial_token","order_id","order_delivery_id","store_location_code","store_zip_code","transaction_date_pt","transaction_date_time_pt","transaction_amt","approval_code","stan"
"","7486556698633396","7486556698233151","49","11207","2022-05-16","2022-05-16 06:48:24","29.75","742040","309055"
"","7486758087430798","7486758087130900","40","10550","2022-05-16","2022-05-16 06:48:40","44.98","038757","314633"
"","7486746194433501","7486746193833283","30","10456","2022-05-16","2022-05-16 06:49:19","153.48","022428","313682"
"","7487169095130616","7487169094630846","11","11237","2022-05-16","2022-05-16 06:50:07","41.67","310881","309547"
"","7486308063335139","7486308062935954","76","11362","2022-05-16","2022-05-16 06:50:47","81.46","340681","310285"
"","7487124301933626","7487124301733497","50","07047","2022-05-16","2022-05-16 06:51:01","23.65","877580","324651"
"","7483458614930189","7483458614630065","41","11101","2022-05-16","2022-05-16 06:51:05","125.05","861830","324666"
"","7486931514535717","7486931514235655","49","11207","2022-05-16","2022-05-16 06:51:34","207.94","010246","310019"
"","7487037157432284","7487037157132698","48","11717","2022-05-16","2022-05-16 06:51:39","93.36","512048","310786"
"","7487138368930994","7487138368630209","49","11207","2022-05-16","2022-05-16 06:51:52","20.23","510963","310050"
"","7487007931633479","7487007931333318","76","11362","2022-05-16","2022-05-16 06:52:16","43.53","097535","311062"
"","7483677821934601","7483677821534808","49","11207","2022-05-16","2022-05-16 06:52:34","196.36","077763","310289"
"","7486500843734868","7486500843434217","76","11362","2022-05-16","2022-05-16 06:52:38","53.63","599147","311300"
"","7486941243332661","7486941242932044","22","11206","2022-05-16","2022-05-16 06:52:48","69.31","249573","312092"
"","7487125796131353","7487125795731992","42","10451","2022-05-16","2022-05-16 06:52:53","54.16","725295","330072"
"","7486442471734365","7486442471534708","40","10550","2022-05-16","2022-05-16 06:53:26","123.99","372660","315909"
"","7486994371830327","7486994371630483","48","11717","2022-05-16","2022-05-16 06:53:38","66.28","362727","311808"
"","","","22","11206","2022-05-16","2022-05-16 06:53:58","-2.50","785992","7620"
"","7487037303532288","7487037303332702","76","11362","2022-05-16","2022-05-16 06:53:59","154.23","847003","311878"
"","7487140174632266","7487140174232719","22","11206","2022-05-16","2022-05-16 06:54:01","58.02","446541","312587"
"","7482995319432929","7482995319032960","76","11362","2022-05-16","2022-05-16 06:54:10","45.17","696665","312081"
"","7487178454732013","7487178454432471","30","10456","2022-05-16","2022-05-16 06:54:27","106.25","909959","314925"
"","7486902436333761","7486902436033574","41","11101","2022-05-16","2022-05-16 06:54:29","34.44","901504","326721"
"","7486956116730674","7486956116330823","27","10473","2022-05-16","2022-05-16 06:55:41","63.98","141971","310583"
"","7487160843231082","7487160842931728","46","07202","2022-05-16","2022-05-16 06:56:02","33.67","446885","313383"
"","7487128558030800","7487128557730014","22","11206","2022-05-16","2022-05-16 06:56:32","73.58","769080","313611"
"","7487042596730196","7487042596330380","27","10473","2022-05-16","2022-05-16 06:57:10","44.72","509470","311087"
"","7477664514235530","7477664514035277","27","10473","2022-05-16","2022-05-16 06:59:14","45.01","430495","124083"
"","7487192949332332","7487192936932798","42","10451","2022-05-16","2022-05-16 06:59:18","70.82","772426","311338"
"","7486631146632611","7486631146432915","27","10473","2022-05-16","2022-05-16 06:59:26","81.60","436082","311877"
"","","","41","11101","2022-05-16","2022-05-16 06:59:33","-4.89","896991","124313"
"","7483473009633331","7483473009333915","41","11101","2022-05-16","2022-05-16 07:00:17","274.58","086124","430311"
"","7487157201434217","7487157201234709","43","06610","2022-05-16","2022-05-16 07:01:24","25.97","387611","424918"
"","7486961042332022","7486961042032411","41","11101","2022-05-16","2022-05-16 07:03:56","97.94","068462","408995"
"","7486973436933910","7486973436633737","30","10456","2022-05-16","2022-05-16 07:04:10","36.69","025410","417440"
"","7486941992633390","7486941992233211","41","11101","2022-05-16","2022-05-16 07:04:29","63.39","592343","409280"
"","7487026797635326","7487026797335282","22","11206","2022-05-16","2022-05-16 07:04:33","105.22","957546","416760"
"","7482316353135749","7482316348635166","27","10473","2022-05-16","2022-05-16 07:04:33","180.50","217657","414114"
"","7486825635033609","7486825634633408","22","11206","2022-05-16","2022-05-16 07:04:43","320.93","438346","416948"
"","7486826149731392","7486826149431952","72","10451","2022-05-16","2022-05-16 07:04:50","143.48","749825","415430"
"","7487119860835040","7487119860435034","40","10550","2022-05-16","2022-05-16 07:05:18","32.64","025540","419264"
"","7487047386632473","7487047386332892","75","11231","2022-05-16","2022-05-16 07:05:23","86.56","373310","419274"
"","7487170053533516","7487170053233404","30","10456","2022-05-16","2022-05-16 07:05:28","155.44","022310","417740"
"","7486951561330595","7486951561030744","41","11101","2022-05-16","2022-05-16 07:06:10","20.26","024727","410326"
